industry,code
CI005004.WI,601368.SH
CI005004.WI,601619.SH
CI005004.WI,601985.SH
CI005004.WI,601991.SH
CI005004.WI,603080.SH
CI005004.WI,603126.SH
CI005004.WI,603165.SH
CI005004.WI,603177.SH
CI005004.WI,603200.SH
CI005004.WI,603393.SH
CI005004.WI,603568.SH
CI005004.WI,603588.SH
CI005004.WI,603603.SH
CI005004.WI,603686.SH
CI005004.WI,603689.SH
CI005004.WI,603797.SH
CI005004.WI,603817.SH
CI005004.WI,603903.SH
CI005005.WI,000515.SZ
CI005005.WI,000569.SZ
CI005005.WI,000629.SZ
CI005005.WI,000655.SZ
CI005005.WI,000708.SZ
CI005005.WI,000709.SZ
CI005005.WI,000717.SZ
CI005005.WI,000761.SZ
CI005005.WI,000778.SZ
CI005005.WI,000825.SZ
CI005005.WI,000898.SZ
CI005005.WI,000906.SZ
CI005005.WI,000932.SZ
CI005005.WI,000959.SZ
CI005005.WI,002057.SZ
CI005005.WI,002075.SZ
CI005005.WI,002110.SZ
CI005005.WI,002297.SZ
CI005005.WI,002318.SZ
CI005005.WI,002423.SZ
CI005005.WI,002443.SZ
CI005005.WI,002478.SZ
CI005005.WI,002652.SZ
CI005005.WI,002756.SZ
CI005005.WI,600001.SH
CI005005.WI,600005.SH
CI005005.WI,600010.SH
CI005005.WI,600019.SH
CI005005.WI,600022.SH
CI005005.WI,600058.SH
CI005005.WI,600102.SH
CI005005.WI,600117.SH
CI005005.WI,600126.SH
CI005005.WI,600193.SH
CI005005.WI,600231.SH
CI005005.WI,600282.SH
CI005005.WI,600295.SH
CI005005.WI,600307.SH
CI005005.WI,600357.SH
CI005005.WI,600381.SH
CI005005.WI,600507.SH
CI005005.WI,600532.SH
CI005005.WI,600569.SH
CI005005.WI,600581.SH
CI005005.WI,600608.SH
CI005005.WI,600782.SH
CI005005.WI,600808.SH
CI005005.WI,600882.SH
CI005005.WI,601003.SH
CI005005.WI,601005.SH
CI005005.WI,601028.SH
CI005005.WI,601969.SH
CI005005.WI,603028.SH
CI005005.WI,603878.SH
CI005005.WI,603969.SH
CI005006.WI,000155.SZ
CI005006.WI,000408.SZ
CI005006.WI,000420.SZ
CI005006.WI,000422.SZ
CI005006.WI,000510.SZ
CI005006.WI,000523.SZ
CI005006.WI,000525.SZ
CI005006.WI,000545.SZ
CI005006.WI,000553.SZ
CI005006.WI,000565.SZ
CI005006.WI,000578.SZ
CI005006.WI,000584.SZ
CI005006.WI,000635.SZ
CI005006.WI,000677.SZ
CI005006.WI,000683.SZ
CI005006.WI,000687.SZ
CI005006.WI,000707.SZ
CI005006.WI,000731.SZ
CI005006.WI,000737.SZ
CI005006.WI,000755.SZ
CI005006.WI,000782.SZ
CI005006.WI,000792.SZ
CI005006.WI,000818.SZ
CI005006.WI,000822.SZ
CI005006.WI,000830.SZ
CI005006.WI,000859.SZ
CI005006.WI,000902.SZ
CI005006.WI,000912.SZ
CI005006.WI,000936.SZ
CI005006.WI,000949.SZ
CI005006.WI,000950.SZ
CI005006.WI,000953.SZ
CI005006.WI,000973.SZ
CI005006.WI,000990.SZ
CI005006.WI,002002.SZ
CI005006.WI,002004.SZ
CI005006.WI,002010.SZ
CI005006.WI,002018.SZ
CI005006.WI,002037.SZ
CI005006.WI,002053.SZ
CI005006.WI,002054.SZ
CI005006.WI,002061.SZ
CI005006.WI,002068.SZ
CI005006.WI,002092.SZ
CI005006.WI,002096.SZ
CI005006.WI,002108.SZ
CI005006.WI,002109.SZ
CI005006.WI,002125.SZ
CI005006.WI,002136.SZ
CI005006.WI,002145.SZ
CI005006.WI,002165.SZ
CI005006.WI,002170.SZ
CI005006.WI,002211.SZ
CI005006.WI,002215.SZ
CI005006.WI,002224.SZ
CI005006.WI,002226.SZ
CI005006.WI,002246.SZ
CI005006.WI,002250.SZ
CI005006.WI,002256.SZ
CI005006.WI,002258.SZ
CI005006.WI,002263.SZ
CI005006.WI,002274.SZ
CI005006.WI,002319.SZ
CI005006.WI,002324.SZ
CI005006.WI,002326.SZ
CI005006.WI,002360.SZ
CI005006.WI,002361.SZ
CI005006.WI,002381.SZ
CI005006.WI,002382.SZ
CI005006.WI,002386.SZ
CI005006.WI,002391.SZ
CI005006.WI,002395.SZ
CI005006.WI,002407.SZ
CI005006.WI,002409.SZ
CI005006.WI,002411.SZ
CI005006.WI,002427.SZ
CI005006.WI,002440.SZ
CI005006.WI,002442.SZ
CI005006.WI,002450.SZ
CI005006.WI,002453.SZ
CI005006.WI,002455.SZ
CI005006.WI,002464.SZ
CI005006.WI,002470.SZ
CI005006.WI,002496.SZ
CI005006.WI,002497.SZ
CI005006.WI,002513.SZ
CI005006.WI,002522.SZ
CI005006.WI,002538.SZ
CI005006.WI,002539.SZ
CI005006.WI,002549.SZ
CI005006.WI,002556.SZ
CI005006.WI,002562.SZ
CI005006.WI,002581.SZ
CI005006.WI,002584.SZ
CI005006.WI,002585.SZ
CI005006.WI,002588.SZ
CI005006.WI,002591.SZ
CI005006.WI,002597.SZ
CI005006.WI,002601.SZ
CI005006.WI,002632.SZ
CI005006.WI,002637.SZ
CI005006.WI,002643.SZ
CI005006.WI,002666.SZ
CI005006.WI,002669.SZ
CI005006.WI,002683.SZ
CI005006.WI,002694.SZ
CI005006.WI,002709.SZ
CI005006.WI,002734.SZ
CI005006.WI,002748.SZ
CI005006.WI,002749.SZ
CI005006.WI,002768.SZ
CI005006.WI,002783.SZ
CI005006.WI,002802.SZ
CI005006.WI,002805.SZ
CI005006.WI,002809.SZ
CI005006.WI,002810.SZ
CI005006.WI,002827.SZ
CI005006.WI,002838.SZ
CI005006.WI,002855.SZ
CI005006.WI,002886.SZ
CI005006.WI,002895.SZ
CI005006.WI,002909.SZ
CI005006.WI,002915.SZ
CI005006.WI,002917.SZ
CI005006.WI,002919.SZ
CI005006.WI,300019.SZ
CI005006.WI,300037.SZ
CI005006.WI,300041.SZ
CI005006.WI,300054.SZ
CI005006.WI,300067.SZ
CI005006.WI,300072.SZ
CI005006.WI,300073.SZ
CI005006.WI,300082.SZ
CI005006.WI,300107.SZ
CI005006.WI,300108.SZ
CI005006.WI,300121.SZ
CI005006.WI,300132.SZ
CI005006.WI,300169.SZ
CI005006.WI,300174.SZ
CI005006.WI,300180.SZ
CI005006.WI,300192.SZ
CI005006.WI,300200.SZ
CI005006.WI,300214.SZ
CI005006.WI,300218.SZ
CI005006.WI,300221.SZ
CI005006.WI,300225.SZ
CI005006.WI,300230.SZ
CI005006.WI,300236.SZ
CI005006.WI,300243.SZ
CI005006.WI,300261.SZ
CI005006.WI,300285.SZ
CI005006.WI,300305.SZ
CI005006.WI,300320.SZ
CI005006.WI,300321.SZ
